地区,部门名称,用人司局,职位名称,招考人数,报考人数,过审人数,竞争比,访问人数
青海,国家税务总局青海省税务局,国家税务总局曲麻莱县税务局,一级行政执法员（三）,1,6865,6002,6002:1,1210
广东,广东海事局,广州海事局,广州海事局一级行政执法员（二十九）,1,4954,4193,4193:1,1046
广东,国家统计局广东调查总队,国家统计局广东调查总队,国家统计局珠海调查队业务科室一级科员,1,3154,2746,2746:1,533
北京,中央办公厅,中共中央直属机关事务管理局,绿化管理工作一级主任科员及以下,1,2717,2716,2716:1,908
江苏,国家税务总局江苏省税务局,国家税务总局扬州高新技术产业开发区税务局,一级行政执法员,1,2860,2638,2638:1,552
北京,全国人大,机关采购中心,业务一处一级主任科员及以下,1,3500,2616,2616:1,999
广东,广东海事局,潮州海事局,潮州海事局一级行政执法员（二）,1,3372,2512,2512:1,1018
广东,国家统计局广东调查总队,国家统计局广东调查总队,国家统计局湛江调查队办公室一级科员,1,2378,2251,2251:1,450
广东,国家税务总局深圳市税务局,国家税务总局深圳市罗湖区税务局,一级行政执法员（三）,2,4222,4219,2109.5:1,726
甘肃,生态环境部西北核与辐射安全监督站,生态环境部西北核与辐射安全监督站,核与辐射安全监督岗位一级主任科员及以下,1,1976,1965,1965:1,650
青海,国家税务总局青海省税务局,国家税务总局达日县税务局,一级行政执法员（二）,1,2228,1915,1915:1,361
青海,国家税务总局青海省税务局,国家税务总局曲麻莱县税务局,一级行政执法员（一）,1,2270,1860,1860:1,439
云南,国家移民管理局瑞丽遣返中心,国家移民管理局瑞丽遣返中心,执行二队一级警长及以下（四）,1,1563,1563,1563:1,235
北京,中央网信办,网络安全应急指挥中心,业务处一级主任科员及以下（九）,1,1538,1485,1485:1,351
云南,国家税务总局云南省税务局,国家税务总局华坪县税务局,一级行政执法员（三）,1,1482,1465,1465:1,366
北京,中国文联,理论研究室,一级主任科员及以下,1,1390,1390,1390:1,586
贵州,国家税务总局贵州省税务局,国家税务总局普安县税务局,一级行政执法员（一）,1,1431,1385,1385:1,189
北京,农业农村部,乡村产业发展司,特色产业处一级主任科员及以下,1,1400,1368,1368:1,566
青海,国家税务总局青海省税务局,国家税务总局治多县税务局,一级行政执法员（三）,1,1348,1318,1318:1,285
上海,上海海事局,宝山海事局,宝山海事局一级行政执法员（二）,1,1311,1309,1309:1,753
云南,国家统计局云南调查总队,国家统计局云南调查总队,双柏调查队一级科员,1,1466,1293,1293:1,547
青海,国家税务总局青海省税务局,国家税务总局玛多县税务局,一级行政执法员,1,1285,1228,1228:1,272
青海,国家税务总局青海省税务局,国家税务总局治多县税务局,一级行政执法员（二）,1,1262,1211,1211:1,271
河南,国家税务总局河南省税务局,国家税务总局郑州航空港实验区税务局第一税务分局,一级行政执法员（三）,2,2627,2394,1197:1,615
北京,全国总工会,中国教科文卫体工会,教育工作部一级主任科员及以下,1,1190,1190,1190:1,602
福建,国家税务总局福建省税务局,国家税务总局福州市鼓楼区税务局,一级行政执法员（五）,2,2891,2363,1181.5:1,387
河南,国家税务总局河南省税务局,国家税务总局焦作市解放区税务局,一级行政执法员（三）,1,1173,1143,1143:1,331
江苏,江苏出入境边防检查总站,江苏出入境边防检查总站,镇江边检站一级警长及以下,1,1189,1129,1129:1,523
四川,国家税务总局四川省税务局,国家税务总局德阳经济技术开发区税务局,一级行政执法员（五）,1,1141,1125,1125:1,361
广东,财政部广东监管局,广东监管局,一级主任科员及以下,1,1131,1122,1122:1,435
北京,海关总署,全国海关教育培训中心,综合处（人事政工处）一级主任科员及以下,1,1118,1118,1118:1,500
上海,生态环境部华东核与辐射安全监督站,生态环境部华东核与辐射安全监督站,核与辐射安全监督岗位一级主任科员及以下,2,2280,2218,1109:1,370
贵州,国家税务总局贵州省税务局,国家税务总局清镇市税务局,一级行政执法员（三）,2,2222,2215,1107.5:1,231
北京,国家税务总局北京市税务局,国家税务总局北京市大兴区税务局,一级行政执法员（十）,2,2489,2183,1091.5:1,471
青海,国家税务总局青海省税务局,国家税务总局久治县税务局,一级行政执法员（二）,2,2470,2169,1084.5:1,357
浙江,国家税务总局浙江省税务局,国家税务总局湖州市税务局稽查局,一级行政执法员（一）,1,1220,1084,1084:1,240
北京,中国文联,中国戏剧家协会,办公室一级主任科员及以下,1,1079,1078,1078:1,388
广西,国家移民管理局东兴遣返中心,国家移民管理局东兴遣返中心,东兴遣返中心执行队一级警长及以下（四）,1,1154,1071,1071:1,258
广东,国家税务总局广东省税务局,国家税务总局广州市南沙区税务局,一级行政执法员（二）,5,5692,5316,1063.2:1,791
江苏,江苏出入境边防检查总站,江苏出入境边防检查总站,连云港边检站一级警长及以下（二）,1,1069,1057,1057:1,387
云南,国家税务总局云南省税务局,国家税务总局马关县税务局,一级行政执法员（三）,1,1072,1040,1040:1,230
云南,国家统计局云南调查总队,国家统计局云南调查总队,墨江调查队一级科员（1）,1,1215,1033,1033:1,451
四川,国家粮食和物资储备局四川局,国家粮食和物资储备局四川局,规划建设处一级主任科员及以下,1,1027,1013,1013:1,336
四川,财政部四川监管局,四川监管局,一级主任科员及以下,1,1333,1002,1002:1,382
吉林,吉林出入境边防检查总站,吉林出入境边防检查总站,白山边境管理支队一级警长及以下（四）,1,1030,997,997:1,410
湖南,国家税务总局湖南省税务局,国家税务总局湘潭市雨湖区税务局,一级行政执法员（七）,1,1059,995,995:1,283
四川,国家税务总局四川省税务局,国家税务总局资阳市雁江区税务局,一级行政执法员（四）,1,990,971,971:1,325
广东,国家税务总局深圳市税务局,国家税务总局深圳市盐田区税务局,一级行政执法员（四）,2,2085,1924,962:1,281
云南,国家税务总局云南省税务局,国家税务总局弥渡县税务局,一级行政执法员（四）,1,978,944,944:1,62
广东,广东海事局,清远海事局,清远海事局一级行政执法员（二）,1,1049,939,939:1,149
北京,中央网信办,网络安全应急指挥中心,业务处一级主任科员及以下（六）,2,1871,1864,932:1,1168
山西,国家税务总局山西省税务局,国家税务总局晋中市榆次区税务局,一级行政执法员（三）,2,1846,1838,919:1,287
山西,国家税务总局山西省税务局,国家税务总局忻州市忻府区税务局,一级行政执法员（三）,1,909,904,904:1,136
广东,国家税务总局深圳市税务局,国家税务总局深圳市前海税务局,一级行政执法员（四）,2,1960,1791,895.5:1,566
江苏,国家税务总局江苏省税务局,国家税务总局如东县税务局,一级行政执法员（三）,2,1915,1770,885:1,430
云南,国家税务总局云南省税务局,国家税务总局广南县税务局,一级行政执法员（三）,1,883,868,868:1,118
北京,国家税务总局北京市税务局,国家税务总局北京市燕山地区税务局,一级行政执法员（四）,2,1871,1735,867.5:1,377
湖北,国家粮食和物资储备局湖北局,国家粮食和物资储备局湖北局,执法督查处一级主任科员及以下,1,867,863,863:1,233
北京,文化和旅游部,财务司,基建管理处一级主任科员及以下,1,875,860,860:1,252
陕西,中国民用航空局西北地区管理局,民航陕西安全监督管理局,机场处一级主任科员及以下,1,865,856,856:1,233
湖北,国家税务总局湖北省税务局,国家税务总局武汉市东西湖区税务局,一级行政执法员（三）,2,2222,1705,852.5:1,418
安徽,长江海事局,芜湖海事局,芜湖海事局一级行政执法员（五）,1,892,849,849:1,205
